
2021-08-05 15:38:37

+------+------------------+--------+--------+--------+----------+
| 排名 |    国家或地区    | 金牌数 | 银牌数 | 铜牌数 | 总获奖数 |
+------+------------------+--------+--------+--------+----------+
|  1   |   中国           |   33   |   24   |   16   |    73    |
|  2   |   美国           |   27   |   34   |   24   |    85    |
|  3   |   日本           |   21   |   7    |   13   |    41    |
|  4   |  澳大利亚        |   17   |   4    |   18   |    39    |
|  5   | 俄罗斯奥运队     |   15   |   21   |   19   |    55    |
|  6   |   英国           |   15   |   18   |   16   |    49    |
|  7   |   德国           |   9    |   9    |   16   |    34    |
|  8   |  新西兰          |   7    |   4    |   6    |    17    |
|  9   |  意大利          |   6    |   10   |   16   |    32    |
|  10  |   法国           |   6    |   10   |   9    |    25    |
|  11  |   荷兰           |   6    |   8    |   9    |    23    |
|  12  |   韩国           |   6    |   4    |   9    |    19    |
|  13  |  匈牙利          |   5    |   7    |   3    |    15    |
|  14  |   古巴           |   5    |   3    |   4    |    12    |
|  15  |  加拿大          |   4    |   5    |   7    |    16    |
|  16  |   巴西           |   4    |   4    |   8    |    16    |
|  17  |   捷克           |   4    |   3    |   2    |    9     |
|  18  |   瑞士           |   3    |   4    |   5    |    12    |
|  19  |   波兰           |   3    |   3    |   4    |    10    |
|  20  |  克罗地亚        |   3    |   3    |   2    |    8     |
|  21  |  牙买加          |   3    |   1    |   3    |    7     |
|  22  |   瑞典           |   2    |   5    |   0    |    7     |
|  23  |  中国台北        |   2    |   4    |   5    |    11    |
|  24  |  格鲁吉亚        |   2    |   4    |   1    |    7     |
|  25  |   丹麦           |   2    |   2    |   4    |    8     |
|  26  |   挪威           |   2    |   2    |   1    |    5     |
|  27  |   伊朗           |   2    |   1    |   1    |    4     |
|  27  | 斯洛文尼亚       |   2    |   1    |   1    |    4     |
|  29  |  厄瓜多尔        |   2    |   1    |   0    |    3     |
|  30  | 乌兹别克斯坦     |   2    |   0    |   1    |    3     |
|  30  |   希腊           |   2    |   0    |   1    |    3     |
|  32  |  科索沃          |   2    |   0    |   0    |    2     |
|  32  |  卡塔尔          |   2    |   0    |   0    |    2     |
|  34  |  西班牙          |   1    |   4    |   5    |    10    |
|  35  |  罗马尼亚        |   1    |   3    |   0    |    4     |
|  35  |  委内瑞拉        |   1    |   3    |   0    |    4     |
|  37  |  乌克兰          |   1    |   2    |   9    |    12    |
|  38  |  肯尼亚          |   1    |   2    |   2    |    5     |
|  39  |  中国香港        |   1    |   2    |   1    |    4     |
|  40  |   南非           |   1    |   2    |   0    |    3     |
|  40  |  斯洛伐克        |   1    |   2    |   0    |    3     |
|  42  |  塞尔维亚        |   1    |   1    |   4    |    6     |
|  43  | 印度尼西亚       |   1    |   1    |   3    |    5     |
|  43  |  奥地利          |   1    |   1    |   3    |    5     |
|  45  |  葡萄牙          |   1    |   1    |   2    |    4     |
|  46  |  比利时          |   1    |   1    |   1    |    3     |
|  46  |  菲律宾          |   1    |   1    |   1    |    3     |
|  46  | 埃塞俄比亚       |   1    |   1    |   1    |    3     |
|  46  |  乌干达          |   1    |   1    |   1    |    3     |
|  50  |  突尼斯          |   1    |   1    |   0    |    2     |
|  51  |  土耳其          |   1    |   0    |   5    |    6     |
|  52  |  以色列          |   1    |   0    |   2    |    3     |
|  52  |  爱尔兰          |   1    |   0    |   2    |    3     |
|  54  |  爱沙尼亚        |   1    |   0    |   1    |    2     |
|  54  |   泰国           |   1    |   0    |   1    |    2     |
|  54  |   斐济           |   1    |   0    |   1    |    2     |
|  54  |  拉脱维亚        |   1    |   0    |   1    |    2     |
|  54  |  白俄罗斯        |   1    |   0    |   1    |    2     |
|  59  |  百慕大          |   1    |   0    |   0    |    1     |
|  59  |  波多黎各        |   1    |   0    |   0    |    1     |
|  59  |  摩洛哥          |   1    |   0    |   0    |    1     |
|  62  |  哥伦比亚        |   0    |   2    |   1    |    3     |
|  62  |  多米尼加        |   0    |   2    |   1    |    3     |
